商品編號,商品名稱,類別,規格
H25160250-A007,白米-50斤-稻田,米類,整件
H25160801A,香米-桂花-20斤(包),米類,整件
H00061101-A007,胚芽米-50斤,米類,整件
H00060701-A007,長秈米,米類,整件
H00060401,糯米(圓)-50斤,米類,整件
H00060501-A007,糯米(長)-50斤-雙龍,米類,整件
H00006101-A007,白米-50斤-純台灣,米類,整件
H25160220,白米(特選)-20斤-稻田(包),米類,整件
H00061401,糯米(圓)-50斤-池上,米類,整件
H25160801BA-A007,香米-芋頭-50斤,米類,整件
V42562212,622湯杯(B602)-50*12條,免洗,零散
V42590012,900紙碗(B902)-50*12條,免洗,零散
V01052020,520湯杯(B520)-50*20條,免洗,零散
V1491012,一體小100*6條,免洗,零散
V42500306,一體大-100*6條-禾峰,免洗,零散
V25816512,165平蓋(K165)-50*12條,免洗,零散
V25816512A,165凸蓋(PP-C165)-50*12條,免洗,零散
128凸蓋-50*12條,128凸蓋-50*12條,免洗,整件
上下四格(402A+)-125*4-金牌,上下四格(402A+)-125*4-金牌,免洗,整件
上下四格(402特A)-125*4-阿香,上下四格(402特A)-125*4-阿香,免洗,整件
上下四格(402特A)-125*4-老ㄟ,上下四格(402特A)-125*4-老ㄟ,免洗,整件
上下四格(402特A)-125*4-味芳,上下四格(402特A)-125*4-味芳,免洗,整件
V01075012,750湯杯(B750)-50*12條,免洗,零散
V01085012,850湯杯(B850)--50*12條,免洗,零散
V01039020,390湯杯(B390)-50*20條,免洗,零散
V23011530,小抽-300抽*30-優活,免洗,整件
V0001091B,8511蓋50*12條(環保蓋)德,免洗,零散
V0001092A,6585蓋-50*12-(環保蓋)-德,免洗,零散
V0001093A,520蓋-50*20條(環保蓋)-德,免洗,零散
V0001094,390蓋(K390)-50*20條(環保蓋),免洗,零散
V0001095A,2632蓋-50*40條(環保蓋)-德,免洗,零散
V0001077A,200cc紙杯(6.5OZ)-50*40條,免洗,零散
V0001241,1H食品盒-100*20包,免洗,整件
V0001243,2H食品盒-100*20包,免洗,整件
大抽-100抽*80入-優活,大抽-100抽*80入-優活,免洗,整件
V0001245,3H食品盒-100*20包,免洗,整件
V0001531,三明治袋-10磅*6-超群,免洗,零散
V010100012,1000湯杯-50*12條,免洗,零散
V0001621A-A001,洗碗精-4入-醜小鴨(箱),免洗,整件
V187100031,漂白水-4L*4-醜小鴨,免洗,整件
V0001350A,彎型湯匙(24包),免洗,整件
566-孟宗竹,566-孟宗竹,免洗,整件
V3501601,鋁箔(短)-30*25尺*24-鑽石,免洗,整件
V0001023A,158餐盤-900只(150*6條),免洗,零散
V0001532,封口膜(通用)-350米*6-,免洗,零散
V3101075,360紙杯(90)-50*20條-嘉,免洗,零散
V0001293A,吸管(斜口)6/18-1Kg*5包,免洗,整件
M000B,礦泉水-600ml-北泉(箱),其他,整件
M062,紅茶(咖啡)-5斤*10-T世家,其他,零散
H00073701B,蛋箱(空)-押金,其他,整件
I27881302A-A006,柴魚片(焢)-1斤*20-三魚,其他,零散
A00200101,沙拉油-18L-福壽,油品,零散
沙拉油-3L*6-福壽,沙拉油-3L*6-福壽,油品,整件
A00100401,耐炸油-18L-美食家,油品,整件
B04403104C-A007,麵粉(低筋)-36.67斤-藍聯華(袋),粉類,零散
B04403102B-A007,麵粉(中筋)(1)-聯華(高麵),粉類,整件
地瓜粉-20kg-綠冬筍,地瓜粉-20kg-綠冬筍,粉類,整件
地瓜粉-20kg-黃冬筍,地瓜粉-20kg-黃冬筍,粉類,整件
地瓜粉-20kg-紅冬筍,地瓜粉-20kg-紅冬筍,粉類,整件
B03403202-A007,太白粉-41.67斤-青線AVB(袋),粉類,整件
B03303202-A007,太白粉-20kg-華泰(袋),粉類,整件
B03303302-A007,地瓜粉(CF)-20kg-華泰(袋),粉類,整件
B03703303A-A007,地瓜粉(金三角)-西螺陳(袋),粉類,整件
H26168701A,脆筍絲-20斤-益(箱),農產品,整件
脆筍角-20斤-益(箱),脆筍角-20斤-益(箱),農產品,整件
脆筍片-20斤-益(箱),脆筍片-20斤-益(箱),農產品,整件
H00073701-A001,蛋(白)-20斤(整箱),農產品,整件
紅蛋,紅蛋,農產品,整件
H26570401-A001,酸菜絲(黑)葉5斤*6(箱),農產品,零散
H26570501-A001,酸菜絲(根)白5斤*6(箱),農產品,零散
H26469601,碎脯-20斤-客家(箱),農產品,整件
H00070301B,碎瓜-20斤-味園,農產品,整件
H00071801,粽繩-100只*20,農產品,整件
H00071602A,粽葉(青)特大選-60斤,農產品,整件
H00071701,粽葉(竹)(4M/4M-1/3M/3M-1),農產品,整件
H26168520,筍干(幼筍茸.進口)-30斤,農產品,整件
梅干菜,梅干菜,農產品,整件
G19933001-A007,鹽(高級精鹽)-1kg*24-台鹽(袋),調味料,整件
K027,頂級*24(箱),調味料,整件
K045,紅標米酒(料理)-600ml*20,調味料,零散
K0453,紅標米酒-6公升*2入,調味料,零散
F15718404-A001,油膏-10斤*4-萬家香(箱),調味料,零散
糖粉-6kg,糖粉-6kg,調味料,零散
C01906202,特砂-25kg-台糖,調味料,整件
C01906280-A007,特砂-1斤*40(袋),調味料,整件
C06306102,二砂-50kg-味丹,調味料,整件
C06306180,二砂-1斤*40(綠標),調味料,整件
F16118804,辣椒醬-5L*4-東泉,調味料,零散
F15718104,醬油(一般)10斤*4萬家香,調味料,零散
F15718304,醬油(濃)-10斤*4-萬家香,調味料,零散
F09420906,味醂-1.8L*6-合將,調味料,整件
F15618104,醬油(淡)-5L*4-金蘭,調味料,零散
F15618304,醬油(濃)(甲等)-5L*4-金蘭,調味料,零散
F15618104B,醬油(甲等)-5L*4-金蘭,調味料,零散
F15618404,油膏-10斤*4-金蘭,調味料,零散
F15618404A,油膏(甘醇)-5L*4-金蘭,調味料,零散
F17318104,醬油-5L*4-金梅,調味料,零散
F17318404,油膏-5L*4-金梅,調味料,零散
G19132002,味素-1kg*12-味昌,調味料,整件
F00522312A,調味醬(中華)-0.6L*12-味全,調味料,零散
F00522312B,調味醬(義大利)-0.6L*12-味全,調味料,零散
醬油-4入-金品,醬油-4入-金品,調味料,零散
F17618906,辣豆瓣2.8KG*6-十全,調味料,零散
D04111012,油蔥香(客家)-500克*12-禾豐,調味料,整件
F00418104A,醬油-6kg*4-統一四季,調味料,零散
F15718704,素蠔油(香菇)-10斤*4-萬家香,調味料,零散
E00015601,冬粉(綠豆)-2700G*10-中農,麵加工,零散
E00016204,麵線(壽)-2束*20-宏廣,麵加工,整件
E12416020,米粉(埔里)-380g*20-芬園,麵加工,整件
E13316008,米粉(新竹)-5斤*8-冬福,麵加工,零散
E13117406B,肉鬆(海苔)-5斤*6,麵加工,零散
